Timestamp,Processing_Time_ms,FPS,Distance_m,Confidence,Mode
20:51:38.382,18.04,55,0.00,0.00,DETECT_ARRIVAL
20:51:38.406,22.23,41,0.00,0.00,DETECT_ARRIVAL
20:51:38.454,45.46,21,0.00,0.00,DETECT_ARRIVAL
20:51:38.500,44.28,21,0.00,0.00,DETECT_ARRIVAL
20:51:38.530,27.94,33,0.00,0.00,DETECT_ARRIVAL
20:51:38.579,45.49,20,0.00,0.00,DETECT_ARRIVAL
20:51:38.626,46.05,21,0.00,0.00,DETECT_ARRIVAL
20:51:38.673,44.53,21,0.00,0.00,DETECT_ARRIVAL
20:51:38.705,28.79,31,0.00,0.00,DETECT_ARRIVAL
20:51:38.751,44.37,21,0.00,0.00,DETECT_ARRIVAL
20:51:38.799,45.42,21,0.00,0.00,DETECT_ARRIVAL
20:51:38.835,17.34,27,0.00,0.00,DETECT_ARRIVAL
20:51:38.878,42.20,22,0.00,0.00,DETECT_ARRIVAL
20:51:38.931,49.86,19,0.00,0.00,DETECT_ARRIVAL
20:51:38.961,28.20,32,0.00,0.00,DETECT_ARRIVAL
20:51:39.011,45.91,20,0.00,0.00,DETECT_ARRIVAL
20:51:39.059,44.82,20,0.00,0.00,DETECT_ARRIVAL
20:51:39.089,27.38,33,0.00,0.00,DETECT_ARRIVAL
20:51:39.138,46.00,20,0.00,0.00,DETECT_ARRIVAL
20:51:39.185,44.85,21,0.00,0.00,DETECT_ARRIVAL
20:51:39.218,30.69,30,0.00,0.00,DETECT_ARRIVAL
20:51:39.267,46.26,20,0.00,0.00,DETECT_ARRIVAL
20:51:39.314,44.70,20,0.00,0.00,DETECT_ARRIVAL
20:51:39.345,28.78,32,0.00,0.00,DETECT_ARRIVAL
20:51:39.865,518.05,1,0.00,0.00,DETECT_ARRIVAL
20:51:39.884,17.25,51,1.37,0.92,DETECT_ARRIVAL
20:51:39.906,19.76,45,1.49,0.91,DETECT_ARRIVAL
20:51:39.953,45.21,21,1.61,0.93,DETECT_ARRIVAL
20:51:40.000,44.31,21,1.75,0.93,DETECT_ARRIVAL
20:51:40.030,28.08,33,1.89,0.93,DETECT_ARRIVAL
20:51:40.080,47.76,20,2.05,0.93,DETECT_ARRIVAL
20:51:40.127,43.62,21,2.21,0.93,DETECT_ARRIVAL
20:51:40.160,30.49,30,2.38,0.93,DETECT_ARRIVAL
20:51:40.207,45.74,21,2.58,0.92,DETECT_ARRIVAL
20:51:40.256,45.00,20,2.82,0.91,DETECT_ARRIVAL
20:51:40.304,46.30,20,2.97,0.91,DETECT_ARRIVAL
20:51:40.335,29.31,32,3.14,0.89,DETECT_ARRIVAL
20:51:40.384,48.35,20,3.34,0.90,DETECT_ARRIVAL
20:51:40.432,44.12,20,3.54,0.91,DETECT_ARRIVAL
20:51:40.464,30.11,31,3.73,0.91,DETECT_ARRIVAL
20:51:40.512,44.92,20,3.94,0.92,DETECT_ARRIVAL
20:51:40.559,45.75,21,4.16,0.90,DETECT_ARRIVAL
20:51:40.590,30.10,32,4.40,0.89,DETECT_ARRIVAL
20:51:40.640,47.26,19,4.66,0.89,DETECT_ARRIVAL
20:51:40.687,45.79,21,4.92,0.86,DETECT_ARRIVAL
20:51:40.719,28.82,31,5.13,0.87,DETECT_ARRIVAL
20:51:40.767,46.30,20,5.33,0.86,DETECT_ARRIVAL
20:51:40.814,43.93,21,5.42,0.88,DETECT_ARRIVAL
20:51:40.847,31.31,29,5.49,0.88,DETECT_ARRIVAL
20:51:41.372,521.97,1,5.55,0.89,DETECT_ARRIVAL
20:51:41.394,20.21,45,5.43,0.92,DETECT_ARRIVAL
20:51:41.419,21.75,40,5.30,0.93,DETECT_ARRIVAL
20:51:41.461,39.41,23,5.14,0.92,DETECT_ARRIVAL
20:51:41.507,43.73,21,4.95,0.93,DETECT_ARRIVAL
20:51:41.541,31.95,30,4.73,0.92,DETECT_ARRIVAL
20:51:41.588,44.49,21,4.51,0.92,DETECT_ARRIVAL
20:51:41.633,42.20,22,4.28,0.93,DETECT_ARRIVAL
20:51:41.666,30.63,30,4.14,0.91,DETECT_ARRIVAL
20:51:41.713,44.99,20,4.02,0.92,DETECT_ARRIVAL
20:51:41.761,45.25,21,3.90,0.91,DETECT_ARRIVAL
20:51:41.793,30.43,30,3.93,0.91,DETECT_ARRIVAL
20:51:41.840,44.26,21,3.95,0.91,DETECT_ARRIVAL
20:51:41.889,46.48,20,3.97,0.91,DETECT_ARRIVAL
20:51:41.938,45.62,20,3.96,0.90,DETECT_ARRIVAL
20:51:41.970,30.66,31,3.95,0.90,DETECT_ARRIVAL
20:51:42.018,45.38,20,3.92,0.92,DETECT_ARRIVAL
20:51:42.065,44.24,21,3.87,0.92,DETECT_ARRIVAL
20:51:42.099,30.03,29,3.81,0.91,DETECT_ARRIVAL
20:51:42.146,45.73,21,3.75,0.91,DETECT_ARRIVAL
20:51:42.194,45.53,20,3.69,0.93,DETECT_ARRIVAL
20:51:42.226,29.37,31,3.63,0.93,DETECT_ARRIVAL
20:51:42.274,45.04,20,3.57,0.93,DETECT_ARRIVAL
20:51:42.322,45.49,20,3.52,0.93,DETECT_ARRIVAL
20:51:42.353,28.57,32,3.46,0.93,DETECT_ARRIVAL
20:51:42.877,522.89,1,3.41,0.93,DETECT_ARRIVAL
20:51:42.901,21.05,42,3.36,0.94,DETECT_ARRIVAL
20:51:42.923,19.04,46,3.31,0.93,DETECT_ARRIVAL
20:51:42.963,37.52,24,3.27,0.93,DETECT_ARRIVAL
20:51:43.012,47.20,20,3.23,0.93,DETECT_ARRIVAL
20:51:43.041,26.94,33,3.19,0.93,DETECT_ARRIVAL
20:51:43.089,45.27,21,3.14,0.92,DETECT_ARRIVAL
20:51:43.139,46.25,20,3.09,0.92,DETECT_ARRIVAL
20:51:43.170,29.40,31,3.05,0.93,DETECT_ARRIVAL
20:51:43.219,45.93,20,3.00,0.94,DETECT_ARRIVAL
20:51:43.267,45.52,20,2.96,0.94,DETECT_ARRIVAL
20:51:43.298,28.15,32,2.93,0.94,DETECT_ARRIVAL
20:51:43.346,45.50,20,2.91,0.94,DETECT_ARRIVAL
20:51:43.395,46.22,20,2.88,0.95,DETECT_ARRIVAL
20:51:43.429,31.74,28,2.86,0.95,DETECT_ARRIVAL
20:51:43.476,43.68,21,2.84,0.95,DETECT_ARRIVAL
20:51:43.524,46.20,20,2.82,0.95,DETECT_ARRIVAL
20:51:43.570,43.65,21,2.80,0.96,DETECT_ARRIVAL
20:51:43.603,30.66,30,2.79,0.95,DETECT_ARRIVAL
20:51:43.650,44.28,21,2.77,0.95,DETECT_ARRIVAL
20:51:43.700,48.28,19,2.74,0.94,DETECT_ARRIVAL
20:51:43.730,28.74,33,2.71,0.95,DETECT_ARRIVAL
20:51:43.777,44.55,21,2.67,0.95,DETECT_ARRIVAL
20:51:43.826,46.18,20,2.62,0.95,DETECT_ARRIVAL
20:51:43.858,29.05,31,2.56,0.95,DETECT_ARRIVAL
20:51:44.380,521.74,1,2.50,0.95,DETECT_ARRIVAL
20:51:44.421,37.61,24,2.42,0.95,DETECT_ARRIVAL
20:51:44.468,45.27,21,2.34,0.94,DETECT_ARRIVAL
20:51:44.517,45.47,20,2.25,0.95,DETECT_ARRIVAL
20:51:44.550,30.15,30,2.17,0.94,DETECT_ARRIVAL
20:51:44.595,42.95,22,2.09,0.94,DETECT_ARRIVAL
20:51:44.643,45.82,20,2.01,0.95,DETECT_ARRIVAL
20:51:44.675,28.82,31,1.94,0.93,DETECT_ARRIVAL
20:51:44.724,47.20,20,1.88,0.93,DETECT_ARRIVAL
20:51:44.772,45.38,20,1.82,0.95,DETECT_ARRIVAL
20:51:44.803,29.28,31,1.77,0.95,DETECT_ARRIVAL
20:51:44.851,45.23,20,1.73,0.95,DETECT_ARRIVAL
20:51:44.899,45.47,20,1.70,0.94,DETECT_ARRIVAL
20:51:44.931,28.57,31,1.67,0.93,DETECT_ARRIVAL
20:51:44.978,46.52,20,1.65,0.94,DETECT_ARRIVAL
20:51:45.030,49.05,19,1.63,0.93,DETECT_ARRIVAL
20:51:45.061,29.68,32,1.62,0.93,DETECT_ARRIVAL
20:51:45.108,44.90,21,1.61,0.93,DETECT_ARRIVAL
20:51:45.155,43.59,21,1.59,0.93,DETECT_ARRIVAL
20:51:45.204,45.72,20,1.58,0.92,DETECT_ARRIVAL
20:51:45.235,28.99,31,1.57,0.93,DETECT_ARRIVAL
20:51:45.284,46.59,20,1.56,0.93,DETECT_ARRIVAL
20:51:45.332,45.68,20,1.54,0.92,DETECT_ARRIVAL
20:51:45.362,27.70,33,1.53,0.92,DETECT_ARRIVAL
20:51:45.886,521.01,1,1.52,0.92,DETECT_ARRIVAL
20:51:45.909,20.51,42,1.50,0.91,DETECT_ARRIVAL
20:51:45.931,19.08,45,1.48,0.90,DETECT_ARRIVAL
20:51:45.970,37.10,26,1.46,0.91,DETECT_ARRIVAL
20:51:46.019,46.09,20,1.44,0.91,DETECT_ARRIVAL
20:51:46.049,28.00,32,1.42,0.91,DETECT_ARRIVAL
20:51:46.097,46.23,20,1.40,0.91,WAITING_SERVER
20:51:46.152,50.57,18,1.38,0.90,WAITING_SERVER
20:51:46.181,26.71,34,1.36,0.90,WAITING_SERVER
20:51:46.229,44.94,21,1.34,0.91,WAITING_SERVER
20:51:46.274,42.15,22,1.32,0.92,WAITING_SERVER
20:51:46.307,29.89,30,1.31,0.91,WAITING_SERVER
20:51:46.354,44.57,21,1.30,0.91,WAITING_SERVER
20:51:46.402,45.47,21,1.29,0.91,WAITING_SERVER
20:51:46.434,30.94,31,1.27,0.92,WAITING_SERVER
20:51:46.483,45.91,20,1.27,0.92,WAITING_SERVER
20:51:46.531,45.03,20,1.26,0.92,WAITING_SERVER
20:51:46.562,29.76,32,1.25,0.92,WAITING_SERVER
20:51:46.610,45.36,20,1.24,0.93,WAITING_SERVER
20:51:46.661,48.55,19,1.23,0.93,WAITING_SERVER
20:51:46.693,29.70,31,1.22,0.93,WAITING_SERVER
20:51:46.738,43.09,22,1.22,0.93,WAITING_SERVER
20:51:46.787,46.72,20,1.21,0.93,WAITING_SERVER
20:51:46.835,45.55,20,1.20,0.93,WAITING_SERVER
20:51:46.869,31.73,29,1.20,0.92,WAITING_SERVER
20:51:47.395,523.15,1,1.19,0.92,WAITING_SERVER
20:51:47.425,28.25,33,1.18,0.90,WAITING_SERVER
20:51:47.474,45.38,20,1.17,0.90,WAITING_SERVER
20:51:47.522,45.88,20,1.17,0.90,WAITING_SERVER
20:51:47.555,30.02,30,1.16,0.90,WAITING_SERVER
20:51:47.601,44.71,21,1.15,0.90,WAITING_SERVER
20:51:47.651,46.77,20,1.15,0.89,WAITING_SERVER
20:51:47.682,28.69,32,1.14,0.89,WAITING_SERVER
20:51:47.731,46.53,20,1.13,0.89,WAITING_SERVER
20:51:47.777,44.62,21,1.13,0.88,WAITING_SERVER
20:51:47.809,29.41,31,1.12,0.89,WAITING_SERVER
20:51:47.857,45.80,20,1.12,0.89,WAITING_SERVER
20:51:47.904,44.77,21,1.12,0.88,WAITING_SERVER
20:51:47.937,30.07,30,1.12,0.89,WAITING_SERVER
20:51:47.985,45.85,20,1.12,0.91,WAITING_SERVER
20:51:48.036,48.99,19,1.12,0.90,WAITING_SERVER
20:51:48.065,27.74,34,1.13,0.89,WAITING_SERVER
20:51:48.112,44.68,21,1.14,0.89,WAITING_SERVER
20:51:48.163,47.63,19,1.14,0.89,WAITING_SERVER
20:51:48.194,29.19,32,1.15,0.89,WAITING_SERVER
20:51:48.245,48.21,19,1.15,0.90,WAITING_SERVER
20:51:48.290,42.45,22,1.16,0.90,WAITING_SERVER
20:51:48.321,27.84,32,1.15,0.92,WAITING_SERVER
20:51:48.369,45.85,20,1.15,0.92,WAITING_SERVER
20:51:48.417,46.17,20,1.14,0.92,WAITING_SERVER
20:51:48.941,520.70,1,1.14,0.92,WAITING_SERVER
20:51:48.978,35.12,27,1.13,0.91,WAITING_SERVER
20:51:49.008,27.69,33,1.13,0.92,WAITING_SERVER
20:51:49.057,46.37,20,1.12,0.92,WAITING_SERVER
20:51:49.106,47.08,20,1.12,0.92,WAITING_SERVER
20:51:49.153,45.94,21,1.11,0.92,WAITING_SERVER
20:51:49.186,30.59,30,1.11,0.92,WAITING_SERVER
20:51:49.234,45.45,20,1.11,0.92,WAITING_SERVER
20:51:49.281,43.58,21,1.11,0.92,WAITING_SERVER
20:51:49.313,30.08,30,1.11,0.92,WAITING_SERVER
20:51:49.362,45.81,20,1.11,0.92,WAITING_SERVER
20:51:49.412,47.23,20,1.11,0.92,WAITING_SERVER
20:51:49.444,29.86,30,1.11,0.92,WAITING_SERVER
20:51:49.489,43.13,22,1.11,0.92,WAITING_SERVER
20:51:49.539,48.09,19,1.11,0.93,WAITING_SERVER
20:51:49.571,29.27,31,1.11,0.93,WAITING_SERVER
20:51:49.621,47.02,20,1.11,0.92,WAITING_SERVER
20:51:49.668,45.67,21,1.11,0.92,WAITING_SERVER
20:51:49.697,27.47,35,1.11,0.92,WAITING_SERVER
20:51:49.746,47.07,20,1.11,0.92,WAITING_SERVER
20:51:49.794,45.40,20,1.11,0.92,WAITING_SERVER
20:51:49.828,31.10,29,1.11,0.93,WAITING_SERVER
20:51:49.876,45.02,20,1.11,0.93,WAITING_SERVER
20:51:49.924,46.42,21,1.11,0.92,WAITING_SERVER
20:51:50.449,522.04,1,1.11,0.92,WAITING_SERVER
20:51:50.485,33.62,27,1.11,0.92,WAITING_SERVER
20:51:50.517,30.17,30,1.11,0.91,WAITING_SERVER
20:51:50.566,45.45,20,1.11,0.92,WAITING_SERVER
