Timestamp,Processing_Time_ms,FPS,Distance_m,Confidence,Mode
17:47:09.348,49.97,19,2.04,0.67,DETECT_ARRIVAL
17:47:09.381,29.81,31,2.03,0.73,DETECT_ARRIVAL
17:47:09.427,44.01,21,2.03,0.65,DETECT_ARRIVAL
17:47:09.474,44.61,21,2.02,0.68,DETECT_ARRIVAL
17:47:09.521,44.64,21,2.00,0.69,DETECT_ARRIVAL
17:47:09.554,30.81,30,1.97,0.82,DETECT_ARRIVAL
17:47:09.601,45.18,21,1.93,0.81,DETECT_ARRIVAL
17:47:09.650,45.98,20,1.89,0.82,DETECT_ARRIVAL
17:47:09.682,29.55,31,1.87,0.78,DETECT_ARRIVAL
17:47:09.730,45.51,20,1.84,0.79,DETECT_ARRIVAL
17:47:09.778,45.36,20,1.80,0.81,DETECT_ARRIVAL
17:47:09.810,26.05,31,1.76,0.83,DETECT_ARRIVAL
17:47:09.857,45.00,21,1.70,0.81,DETECT_ARRIVAL
17:47:09.904,45.29,21,1.65,0.78,DETECT_ARRIVAL
17:47:09.941,33.44,27,1.61,0.80,DETECT_ARRIVAL
17:47:09.987,44.96,21,1.57,0.81,DETECT_ARRIVAL
17:47:10.034,43.43,21,0.00,0.00,DETECT_ARRIVAL
17:47:10.065,28.51,32,0.00,0.00,DETECT_ARRIVAL
17:47:10.113,44.94,20,1.55,0.77,DETECT_ARRIVAL
17:47:10.160,45.43,21,0.00,0.00,DETECT_ARRIVAL
17:47:10.192,29.44,31,0.00,0.00,DETECT_ARRIVAL
17:47:10.241,45.76,20,0.00,0.00,DETECT_ARRIVAL
17:47:10.287,43.32,21,0.00,0.00,DETECT_ARRIVAL
17:47:10.321,29.97,30,1.54,0.75,DETECT_ARRIVAL
17:47:10.368,45.85,20,1.53,0.76,DETECT_ARRIVAL
17:47:10.417,44.97,20,1.49,0.81,DETECT_ARRIVAL
17:47:10.465,45.82,20,0.00,0.00,DETECT_ARRIVAL
17:47:10.497,29.10,31,0.00,0.00,DETECT_ARRIVAL
17:47:10.545,46.22,20,0.00,0.00,DETECT_ARRIVAL
17:47:10.591,44.90,21,0.00,0.00,DETECT_ARRIVAL
17:47:10.627,32.68,27,0.00,0.00,DETECT_ARRIVAL
17:47:10.672,42.62,22,0.00,0.00,DETECT_ARRIVAL
17:47:10.719,46.24,20,0.00,0.00,DETECT_ARRIVAL
17:47:10.753,29.91,30,0.00,0.00,DETECT_ARRIVAL
17:47:10.801,46.99,20,0.00,0.00,DETECT_ARRIVAL
17:47:10.848,44.09,21,0.00,0.00,DETECT_ARRIVAL
17:47:10.880,30.08,31,0.00,0.00,DETECT_ARRIVAL
17:47:10.928,44.81,20,0.00,0.00,DETECT_ARRIVAL
17:47:10.978,47.79,20,0.00,0.00,DETECT_ARRIVAL
17:47:11.008,28.31,32,0.00,0.00,DETECT_ARRIVAL
17:47:11.057,45.51,20,0.00,0.00,DETECT_ARRIVAL
17:47:11.104,45.94,21,0.00,0.00,DETECT_ARRIVAL
17:47:11.152,45.63,21,0.00,0.00,DETECT_ARRIVAL
17:47:11.184,29.58,30,0.00,0.00,DETECT_ARRIVAL
17:47:11.232,44.85,20,0.00,0.00,DETECT_ARRIVAL
17:47:11.281,45.89,20,0.00,0.00,DETECT_ARRIVAL
17:47:11.313,29.98,30,0.00,0.00,DETECT_ARRIVAL
17:47:11.362,46.60,20,0.00,0.00,DETECT_ARRIVAL
17:47:11.409,45.03,21,0.00,0.00,DETECT_ARRIVAL
17:47:11.440,26.78,32,0.00,0.00,DETECT_ARRIVAL
17:47:11.487,45.16,21,0.00,0.00,DETECT_ARRIVAL
