Timestamp,FPS,Confidence
17:11:37.714,31,0.7851
17:11:37.768,21,0.6559
17:11:37.817,20,0.8447
17:11:37.848,28,0.7297
17:11:37.893,22,0.6707
17:11:37.939,20,0.8648
17:11:37.971,31,0.7430
17:11:38.023,20,0.6788
17:11:38.069,20,0.6842
17:11:38.117,20,0.7226
17:11:38.148,32,0.7526
17:11:38.196,20,0.7414
17:11:38.248,20,0.8819
17:11:38.281,30,0.7411
17:11:38.328,21,0.7081
17:11:38.374,20,0.8812
17:11:38.406,31,0.8892
17:11:38.454,20,0.9091
17:11:38.501,21,0.9328
17:11:38.535,31,0.9516
17:11:38.583,20,0.9589
17:11:38.628,21,0.9545
17:11:38.662,31,0.9414
17:11:38.709,20,0.9330
17:11:38.758,20,0.9238
17:11:38.793,32,0.9298
17:11:38.840,20,0.9267
17:11:38.885,20,0.9209
17:11:38.918,31,0.9194
17:11:38.967,21,0.9256
17:11:39.013,20,0.9248
17:11:39.059,20,0.9236
17:11:39.092,30,0.9138
17:11:39.139,20,0.9127
17:11:39.186,21,0.9063
17:11:39.219,30,0.9064
17:11:39.265,20,0.9063
17:11:39.318,20,0.8908
17:11:39.348,32,0.8872
17:11:39.398,20,0.8943
17:11:39.441,20,0.9031
17:11:39.474,31,0.9088
17:11:39.521,21,0.9100
17:11:39.570,21,0.9076
17:11:39.602,30,0.9064
17:11:39.649,20,0.9071
17:11:39.698,21,0.9179
17:11:39.746,20,0.9025
17:11:39.779,31,0.9007
17:11:39.826,20,0.9031
17:11:39.874,21,0.8996
17:11:39.906,31,0.9056
17:11:39.956,20,0.9042
17:11:40.002,20,0.9269
17:11:40.035,30,0.9304
17:11:40.083,21,0.9335
17:11:40.132,20,0.9337
17:11:40.165,31,0.9362
17:11:40.211,20,0.9532
17:11:40.259,20,0.9499
17:11:40.291,31,0.9538
17:11:40.341,20,0.9558
17:11:40.387,20,0.9588
17:11:40.418,30,0.9522
17:11:40.467,20,0.9402
17:11:40.516,20,0.9482
17:11:40.547,32,0.9429
17:11:40.596,20,0.9417
17:11:40.643,21,0.9375
17:11:40.691,20,0.9455
17:11:40.724,30,0.9465
17:11:40.773,21,0.9435
17:11:40.818,20,0.9405
17:11:40.851,31,0.9441
17:11:40.897,20,0.9443
17:11:40.947,20,0.9456
17:11:40.979,31,0.9495
17:11:41.028,21,0.9497
17:11:41.078,20,0.9491
17:11:41.109,31,0.9520
17:11:41.156,20,0.9551
17:11:41.204,20,0.9554
17:11:41.235,31,0.9540
17:11:41.284,21,0.9514
17:11:41.331,20,0.9472
17:11:41.379,21,0.9438
17:11:41.411,30,0.9389
17:11:41.460,20,0.9336
17:11:41.507,21,0.8887
17:11:41.539,31,0.8632
17:11:41.589,20,0.8760
17:11:41.636,20,0.8600
17:11:41.668,30,0.8433
17:11:41.715,21,0.8461
17:11:41.763,20,0.8604
17:11:41.794,31,0.8640
17:11:41.843,21,0.8721
17:11:41.891,20,0.8837
17:11:41.923,31,0.8640
17:11:41.970,20,0.8562
17:11:42.017,20,0.8438
17:11:42.066,20,0.8531
17:11:42.097,31,0.8691
17:11:42.147,20,0.8280
17:11:42.177,31,0.8744
17:11:42.226,20,0.9216
17:11:42.276,20,0.9302
17:11:42.323,20,0.9299
17:11:42.355,31,0.9375
17:11:42.403,21,0.9361
17:11:42.450,20,0.9371
17:11:42.482,31,0.9388
17:11:42.529,20,0.9354
17:11:42.578,20,0.9373
17:11:42.609,30,0.9406
17:11:42.658,20,0.9403
17:11:42.708,21,0.9431
17:11:42.740,31,0.9457
17:11:42.786,20,0.9448
17:11:42.834,21,0.9428
17:11:42.866,31,0.9415
17:11:42.913,20,0.9406
17:11:42.961,20,0.9111
17:11:43.011,20,0.8895
17:11:43.043,31,0.9050
17:11:43.089,20,0.8623
17:11:43.140,20,0.8707
17:11:43.172,31,0.8972
17:11:43.218,21,0.9067
17:11:43.268,20,0.9120
17:11:43.300,31,0.9163
17:11:43.347,20,0.9077
17:11:43.395,20,0.9120
17:11:43.426,32,0.9126
17:11:43.476,20,0.9164
17:11:43.524,21,0.9167
17:11:43.556,30,0.9064
17:11:43.607,20,0.9020
17:11:43.653,20,0.9250
17:11:43.699,21,0.9276
17:11:43.734,30,0.9206
17:11:43.780,20,0.9212
17:11:43.811,31,0.9098
17:11:43.859,20,0.9027
17:11:43.906,20,0.9031
17:11:43.954,20,0.9034
17:11:43.989,32,0.9082
17:11:44.034,20,0.9214
17:11:44.082,21,0.9220
17:11:44.117,30,0.9116
17:11:44.162,21,0.9215
17:11:44.212,20,0.9205
17:11:44.243,31,0.9250
17:11:44.294,20,0.9162
17:11:44.339,20,0.9085
17:11:44.369,30,0.9143
17:11:44.418,21,0.9119
17:11:44.466,20,0.9093
17:11:44.499,30,0.9216
17:11:44.547,20,0.9216
17:11:44.597,20,0.9090
17:11:44.646,21,0.9120
17:11:44.678,30,0.9230
17:11:44.726,20,0.9247
17:11:44.771,20,0.9181
17:11:44.802,31,0.9276
17:11:44.851,21,0.9330
17:11:44.901,20,0.9314
17:11:44.931,30,0.9313
17:11:44.978,20,0.9329
17:11:45.027,20,0.9378
17:11:45.061,31,0.9429
17:11:45.110,20,0.9412
17:11:45.155,21,0.9374
17:11:45.183,31,0.9425
17:11:45.233,20,0.9405
17:11:45.281,20,0.9360
17:11:45.311,30,0.9297
17:11:45.359,21,0.9394
17:11:45.408,20,0.9172
17:11:45.456,20,0.9222
17:11:45.491,30,0.9261
17:11:45.543,21,0.9144
17:11:45.582,20,0.9255
17:11:45.618,31,0.9214
17:11:45.666,21,0.9107
17:11:45.717,20,0.9231
17:11:45.747,30,0.9244
17:11:45.795,20,0.9172
17:11:45.844,21,0.9060
17:11:45.875,31,0.9199
17:11:45.922,20,0.9180
17:11:45.971,21,0.9182
17:11:45.999,30,0.9223
17:11:46.050,20,0.9226
17:11:46.094,21,0.9254
17:11:46.125,30,0.9260
17:11:46.173,20,0.9265
17:11:46.225,20,0.9186
17:11:46.275,20,0.9249
17:11:46.307,32,0.9235
17:11:46.352,20,0.9264
17:11:46.401,21,0.9262
17:11:46.433,29,0.9201
17:11:46.478,21,0.9175
17:11:46.524,20,0.9059
17:11:46.560,31,0.9178
17:11:46.606,21,0.9116
17:11:46.655,20,0.9029
17:11:46.688,29,0.9017
17:11:46.735,21,0.8926
17:11:46.790,21,0.8992
17:11:46.818,30,0.9126
17:11:46.865,21,0.9159
17:11:46.910,20,0.9064
17:11:46.962,20,0.9121
17:11:46.993,31,0.9187
17:11:47.037,21,0.9216
17:11:47.088,20,0.9257
17:11:47.118,30,0.9176
17:11:47.173,20,0.9196
17:11:47.218,21,0.9295
17:11:47.252,30,0.9234
17:11:47.299,20,0.9362
17:11:47.347,20,0.9307
17:11:47.379,31,0.9148
17:11:47.426,21,0.9051
17:11:47.475,20,0.9061
17:11:47.510,30,0.9059
17:11:47.557,20,0.9051
17:11:47.600,20,0.9057
17:11:47.632,32,0.8897
17:11:47.680,20,0.8993
17:11:47.725,20,0.9019
17:11:47.762,31,0.9046
17:11:47.811,20,0.9141
17:11:47.860,20,0.9062
17:11:47.907,20,0.9024
17:11:47.940,31,0.8959
17:11:47.987,21,0.9017
17:11:48.036,20,0.9114
17:11:48.073,31,0.9125
17:11:48.116,20,0.9204
17:11:48.162,20,0.9257
17:11:48.200,30,0.9106
