Timestamp,FPS,Confidence
17:08:04.358,31,0.9094
17:08:04.404,20,0.9001
17:08:04.452,21,0.9033
17:08:04.482,31,0.9063
17:08:04.531,20,0.9011
17:08:04.576,20,0.9018
17:08:04.610,31,0.9132
17:08:04.658,21,0.9057
17:08:04.706,20,0.9109
17:08:04.754,21,0.9197
17:08:04.785,31,0.9219
17:08:04.838,20,0.9107
17:08:04.887,20,0.9026
17:08:04.918,31,0.8994
17:08:04.965,20,0.8920
17:08:05.012,20,0.9052
17:08:05.041,32,0.8969
17:08:05.091,20,0.9153
17:08:05.143,20,0.9176
17:08:05.172,30,0.9218
17:08:05.220,20,0.9248
17:08:05.268,21,0.9233
17:08:05.316,20,0.9258
17:08:05.350,31,0.9197
17:08:05.397,20,0.9288
17:08:05.430,32,0.9218
17:08:05.477,20,0.9117
17:08:05.522,20,0.9213
17:08:05.570,20,0.9111
17:08:05.609,30,0.9153
17:08:05.653,20,0.9033
17:08:05.699,20,0.8995
17:08:05.729,31,0.9041
17:08:05.777,20,0.9118
17:08:05.825,20,0.9118
17:08:05.859,31,0.9164
17:08:05.908,20,0.9288
17:08:05.959,21,0.9443
17:08:05.990,30,0.9391
17:08:06.039,21,0.9225
17:08:06.085,20,0.9195
17:08:06.119,31,0.9238
17:08:06.165,20,0.9169
17:08:06.211,20,0.9188
17:08:06.256,20,0.9277
17:08:06.291,30,0.9278
17:08:06.336,20,0.9021
17:08:06.387,20,0.9279
17:08:06.419,32,0.9306
17:08:06.466,20,0.9296
17:08:06.514,20,0.9398
17:08:06.545,31,0.9446
17:08:06.592,20,0.9412
17:08:06.640,20,0.9427
17:08:06.673,31,0.9443
17:08:06.722,20,0.9412
17:08:06.769,21,0.9445
17:08:06.801,31,0.9396
17:08:06.848,20,0.9395
17:08:06.897,20,0.9459
17:08:06.946,21,0.9499
17:08:06.979,31,0.9508
17:08:07.027,20,0.9545
17:08:07.071,21,0.9555
17:08:07.104,30,0.9622
17:08:07.155,20,0.9589
17:08:07.200,20,0.9573
17:08:07.233,30,0.9587
17:08:07.280,21,0.9547
17:08:07.329,21,0.9544
17:08:07.362,30,0.9520
17:08:07.411,21,0.9492
17:08:07.463,20,0.9488
17:08:07.493,31,0.9471
17:08:07.537,21,0.9282
17:08:07.584,20,0.9475
17:08:07.617,30,0.9512
17:08:07.665,20,0.9508
17:08:07.714,20,0.9506
17:08:07.745,30,0.9432
17:08:07.791,20,0.9531
17:08:07.841,20,0.9533
17:08:07.888,21,0.9465
17:08:07.924,30,0.9461
17:08:07.970,20,0.9408
17:08:08.019,21,0.9319
17:08:08.049,30,0.9304
17:08:08.096,20,0.9169
17:08:08.145,20,0.9173
17:08:08.176,31,0.9084
17:08:08.226,20,0.9222
17:08:08.273,20,0.9286
17:08:08.304,31,0.9263
17:08:08.353,20,0.9266
17:08:08.403,21,0.9335
17:08:08.436,31,0.9308
17:08:08.484,20,0.9336
17:08:08.529,21,0.9352
17:08:08.577,20,0.9404
17:08:08.609,30,0.9358
17:08:08.658,20,0.9305
17:08:08.705,21,0.9331
17:08:08.737,31,0.9342
17:08:08.785,20,0.9325
17:08:08.834,20,0.9299
17:08:08.867,31,0.9344
17:08:08.913,20,0.9250
17:08:08.961,21,0.9246
17:08:08.994,30,0.9228
17:08:09.041,20,0.9220
17:08:09.090,20,0.9299
17:08:09.121,32,0.9293
17:08:09.168,20,0.9274
17:08:09.220,20,0.9306
17:08:09.251,31,0.9273
17:08:09.299,20,0.9165
17:08:09.348,20,0.9137
17:08:09.379,32,0.9150
17:08:09.429,20,0.9330
17:08:09.476,20,0.9367
17:08:09.524,20,0.9209
